"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"18230123",,"Avenida Marechal Fontenelle próximo ao 4225",,"-22.882170985393046","-43.41082597201003","18230123",,"0",,,
"18230121",,"Avenida Marechal Fontenelle próximo ao 4541",,"-22.880263515986233","-43.41390942804538","18230121",,"0",,,
"18230135",,"Avenida Jambeiro próximo ao 61",,"-22.87997641915215","-43.37011149417765","18230135",,"0",,,
"18230133",,"Avenida Jambeiro próximo ao 445",,"-22.88176900869688","-43.370976317731674","18230133",,"0",,,
"18230131",,"Avenida Jambeiro próximo ao 445",,"-22.884925507611854","-43.37399054108954","18230131",,"0",,,
"18230129",,"Avenida Marechal Fontenelle próximo ao 3065",,"-22.88544591864922","-43.400184074919984","18230129",,"0",,,
"18230143",,"Estrada Intend Magalhaes próximo ao 803",,"-22.877978036258163","-43.36096006381236","18230143",,"0",,,
"18230141",,"Estrada Intend Magalhaes próximo ao 106",,"-22.877547968346114","-43.36445492750204","18230141",,"0",,,
"18230139",,"Estrada Intend Magalhaes próximo ao 197",,"-22.87717039838436","-43.36735679204277","18230139",,"0",,,
"18230137",,"Avenida Jambeiro próximo ao 31",,"-22.878360578661052","-43.369685467660325","18230137",,"0",,,
"18230085",,"Rua Vicencia próximo ao 385",,"-22.88706444286647","-43.43058088226228","18230085",,"0",,,
"18230087",,"Rua General Azeredo próximo ao 365",,"-22.88548516483323","-43.430258486473555","18230087",,"0",,,
"18230081",,"Rua Vicencia próximo ao 1986",,"-22.88943898521447","-43.43358910517864","18230081",,"0",,,
"18230083",,"Rua Vicencia próximo ao 5",,"-22.888102027185678","-43.431881643727884","18230083",,"0",,,
"18230093",,"Rua General Azeredo próximo ao 800",,"-22.88926812577411","-43.426752295735135","18230093",,"0",,,
"18230095",,"Avenida Pirpirituba próximo ao 3812",,"-22.89050678468176","-43.42482018223671","18230095",,"0",,,
"18230089",,"Rua General Azeredo próximo ao 391",,"-22.88668623582382","-43.429139352240774","18230089",,"0",,,
"18230091",,"Rua General Azeredo próximo ao 617",,"-22.8882476856584","-43.42769207357058","18230091",,"0",,,
"18230101",,"Avenida Pirpirituba próximo ao 108",,"-22.89241876478043","-43.41883515906806","18230101",,"0",,,
"18230103",,"Estrada Manuel Nogueira De Sa próximo ao 1472",,"-22.891956053308974","-43.41743640108501","18230103",,"0",,,
"18230097",,"Avenida Pirpirituba próximo ao 618","Supermercado","-22.889393700471803","-43.42248646146431","18230097",,"0",,,
"18230099",,"Avenida Pirpirituba próximo ao 4612",,"-22.89127822370039","-43.42074921536405","18230099",,"0",,,
"18230109",,"Rua Piraquara próximo ao 1398",,"-22.88768992880003","-43.415445998162724","18230109",,"0",,,
"18230111",,"Rua Piraquara próximo ao 795",,"-22.88449065924654","-43.41835816958237","18230111",,"0",,,
"18230105",,"Estrada Manuel Nogueira De Sa próximo ao 1288",,"-22.890763727100587","-43.41594987989884","18230105",,"0",,,
"18230107",,"Estrada Manuel Nogueira De Sa próximo ao 108","Hospital Cardoso Fontes","-22.8891847168761","-43.414416171334025","18230107",,"0",,,
"18229407",,"Avenida Dom Helder Camara próximo ao 4630",,"-22.88429486651268","-43.27745697707358","18229407",,"0",,,
"18229405",,"Avenida Dom Helder Camara próximo ao 517",,"-22.882931413160755","-43.276258128446855","18229405",,"0",,,
"35064751","68225","Terminal Américo Ayres - D1",,"-22.901827766401347","-43.27555312128747","35064751",,"0",,,
"18229403",,"Avenida Dom Helder Camara próximo ao 43992","Igreja Universal","-22.88086217374807","-43.273831823397416","18229403",,"0",,,
"18229400",,"Avenida Dom Helder Camara próximo ao 2814","LBV","-22.87808648808771","-43.26400614738553","18229400",,"0",,,
"18229398",,"Avenida Dom Helder Camara próximo ao 2672",,"-22.87858923629671","-43.26103599147852","18229398",,"0",,,
"35064737","68224","Terminal Américo Ayres - C2",,"-22.901993103985962","-43.275304790666326","35064737",,"0",,,
"18229396",,"Avenida Dom Helder Camara próximo ao 2650",,"-22.88065134150782","-43.25842528198641","18229396",,"0",,,
"18229394",,"Avenida Dom Helder Camara próximo ao 2376",,"-22.882698973835414","-43.254593959814414","18229394",,"0",,,
"18229392",,"Avenida Dom Helder Camara próximo ao 1790","Metrô Maria da Graça","-22.883586820699755","-43.25372986632299","18229392",,"0",,,
"18246737",,"Rua Maxwell próximo ao 1193",,"-22.91839625793545","-43.24030144557368","18246737",,"0",,,
"18246735",,"Rua Maxwell próximo ao 207",,"-22.91975195979215","-43.242958279267995","18246735",,"0",,,
"18246733",,"Rua Maxwell próximo ao 549",,"-22.921417148658033","-43.24589671636873","18246733",,"0",,,
"18246731",,"Rua Maxwell próximo ao 465",,"-22.922845755188597","-43.248707091201574","18246731",,"0",,,
"18246729",,"Rua Maxwell próximo ao 581",,"-22.92388120645317","-43.25073944047938","18246729",,"0",,,
"18246724",,"Rua Campinas próximo ao 117",,"-22.926835018509696","-43.2590287662881","18246724",,"0",,,
"18246722",,"Rua Rosa E Silva próximo ao 210",,"-22.926979140353843","-43.2609210434992","18246722",,"0",,,
"18246720",,"Rua Borda Do Mato próximo ao 172",,"-22.924885381166796","-43.26249022835447","18246720",,"0",,,
"18229437",,"Avenida Dom Helder Camara próximo ao 8346",,"-22.886095943033677","-43.30798253359859","18229437",,"0",,,
"18229439",,"Avenida Dom Helder Camara próximo ao 8610",,"-22.885222345394553","-43.31012674799626","18229439",,"0",,,
"18229433",,"Avenida Dom Helder Camara próximo ao 7856",,"-22.886393513558954","-43.30309059065555","18229433",,"0",,,
"18229435",,"Avenida Dom Helder Camara próximo ao 8424","Supermercado","-22.8865761738208","-43.30602092996457","18229435",,"0",,,
"18229429",,"Avenida Dom Helder Camara próximo ao 7630","Igreja Universal","-22.884595536814114","-43.29809887298657","18229429",,"0",,,
"18229431",,"Avenida Dom Helder Camara próximo ao 7848",,"-22.885390397946317","-43.301237257958164","18229431",,"0",,,
"35064709","68222","Terminal Américo Ayres - B1",,"-22.902003564248677","-43.27556532095337","35064709",,"0",,,
"18229425",,"Avenida Dom Helder Camara próximo ao 6840",,"-22.88143265622254","-43.294055466576005","18229425",,"0",,,
"18229427",,"Avenida Dom Helder Camara próximo ao 7022",,"-22.88272948260964","-43.29613482131206","18229427",,"0",,,
"18229421",,"Avenida Dom Helder Camara próximo ao 135",,"-22.88399118582034","-43.291167855888","18229421",,"0",,,
"18229423",,"Avenida Dom Helder Camara próximo ao 6586",,"-22.882061277478865","-43.292817369067535","18229423",,"0",,,
"18229417",,"Avenida Dom Helder Camara próximo ao 5918",,"-22.88651579670399","-43.288145269233965","18229417",,"0",,,
"18229419",,"Avenida Dom Helder Camara próximo ao 6162","Igreja São Benetido","-22.885282596127578","-43.290054201387534","18229419",,"0",,,
"18229413",,"Avenida Dom Helder Camara próximo ao 5109",,"-22.8874819031536","-43.28357299613281","18229413",,"0",,,
"18229415",,"Avenida Dom Helder Camara próximo ao 5746",,"-22.887118442492923","-43.28648274018783","18229415",,"0",,,
"35064723","68223","Terminal Américo Ayres - C1",,"-22.901936152461552","-43.275561058808904","35064723",,"0",,,
"18229409",,"Avenida Dom Helder Camara próximo ao 554","Norte Shopping","-22.886425774841726","-43.28000663963541","18229409",,"0",,,
